job_chancellor;Justiciar;Justicier;;;Justicia Mayor;;;;;;;;;x
EVTDESC77005;A [Root.Religion.GetPriestTitle] of [Root.Religion.GetName] in [Root.GetName] is not satisfied with the revenue they collect from their lands, and is demanding the right to collect an extra tax from all the peasantry! Currently a tenth of the peasant's harvest or a tenth of the craftsmen's production is taxed, if they were allowed to collect another tenth it would double the taxes and thus make the peasants protest wildly.;Le clergé n'est pas satisfait de collecter une seule dîme auprès des paysans libres, ils demandent de pouvoir percevoir un impôt supplémentaire ! Une dîme correspond à un dixième de la production artisanale. Si les prêtres sont autorisés à percevoir une autre dîme, cela doublerait les taxes et déclencherait de violentes protestations chez les paysans.;Der Klerus gibt sich nicht mit einem Zehnt von allen freien Bauern zufrieden, sie verlangen das Recht auf einen weiteren Zehnt! Das entspricht einem Zehntel der Ernte-Erträge oder einem Zehntel der handwerklichen Produktion. Wenn die Priester einen weiteren Zehnt eintreiben dürfen, entspricht das einer Verdopplung der Steuern, und die Bauern würden protestieren.;;El clero no tiene bastante con la recolección de un diezmo sobre todos los campesinos libres, ¡reclaman el derecho a cobrar un diezmo extra! El diezmo es la décima parte de la cosecha de un campesino o la décima parte de la producción de un artesano. Si se permitirera a los sacerdotes cobrar otro diezmo, se duplicarían los impuestos y los campesinos protestarían salvajemente.;;;;;;;;;x
EVTOPTA77005;An extra tenth? Sure!;Une dîme supplémentaire ? Bien sûr !;Ein zusätzlicher Zehnt? Warum nicht.;;¿Un diezmo adicional? ¡Por supuesto!;;;;;;;;;x
EVTDESC77006;Rich merchants in [Root.GetName] want to buy noble titles, but the existing nobility protest, saying that their titles are priceless. Mere merchants should not be allowed to gain the noble rights just because they can afford it!;De riches marchands souhaitent acheter des titres et les barons protestent, affirmant que leurs titres sont inestimables. De simples marchands ne devraient pas être autorisés à obtenir des titres de noblesse juste parce qu'ils peuvent se les offrir !;Reiche Kaufleute wollen sich Adelstitel erkaufen. Die Barone protestieren, dass die Titel nicht käuflich seien. Einfache Kaufmänner sollten nicht in die Nobilität aufsteigen dürfen, nur weil sie wohlhabend sind.;;Los ricos comerciantes quieren comprar títulos, pero los barones se oponen alegando que sus títulos no tienen precio. ¡Un mero comerciante no debería poder adquirir derechos nobiliarios simplemente porque pueda pagarlos!;;;;;;;;;x
EVTDESC77007;The merchants, a [Root.Religion.GetPriestTitle] and the lords all claim the right to spoils from shipwrecks that capsize outside of [Root.GetName]. The rights to the spoils will be given to...;Les citadins, le clergé et les barons réclament tous trois le droit de récupérer les épaves qui ont fait naufrage autour de [Root.GetName]. Les droits de récupération seront attribués...;Sowohl die Bürger, als auch der Klerus und die Barone erheben, jedes Schiffswrack plündern zu dürfen, das außerhalb von [Root.GetName] gekentert ist. Die Vorrechte an den gekenterten Schiffen geht an...;;La burguesía, el clero y los barones reivindican el derecho a los botines de los naufragios fuera de [Root.GetName]. Los derechos de los botines se otorgarán a...;;;;;;;;;x
EVTOPTA77007;...the [Root.Religion.GetPriestTitle];... à l'Église;… die Kirche;;…la Iglesia;;;;;;;;;x
EVTDESC72015;The guests have finally arrived in [Root.Capital.GetName]! They have be given bread and salt as is their guest right. All is now ready, the cooks have worked day and night preparing the food, our stocks of [Root.GetAlcoholicDrink] have been replinished and the [Root.GetCapitalHolding] has never looked lovelier.;Les invit? sont enfin arriv?? Tout est pr?. Les cuisiniers ont travaill?d'arrache-pied et le ch?eau est plus beau que jamais.;Endlich, die G?te sind da! Alles ist vorbereitet, die K?he haben Tag und Nacht an der Zubereitung des Essens gearbeitet, und die Burg sieht sch?er aus als je zuvor.;;·or fin han llegado los invitados! Todo est?listo, los cocineros han trabajado d? y noche y el castillo nunca ha tenido mejor aspecto.;;;;;;;;;x
EVTDESC72016;We have arrived in [From.Capital.GetName] where [From.GetTitledFirstName] has greeted us warmly to [From.GetHerHis] feast. Bread, salt and [From.GetAlcoholicDrink] has been served as is the guest right, and the most delicious aromas are coming from the kitchen.;[From.GetTitledFirstName] nous a accueillis chaleureusement à son banquet. Le vin a été servi et de délicieuses effluves s'échappaient de la cuisine.;[From.GetTitledFirstName] hat uns zu [From.GetHerHis] Gelage herzlich willkommen geheißen. Es gab Wein, und aus der Küche strömten die herrlichsten Gerüche.;;[From.GetTitledFirstName] nos dio la bienvenida a su fiesta afectuosamente, se sirvió vino y de la cocina emanaban los más deliciosos aromas.;;;;;;;;;x
EVTDESC72045;The [From.GetAlcoholicDrink] flowed at [From.GetTitledFirstName]'s feast and whenever I emptied my cup a servant refilled it.;Le vin coulait à flots lors du banquet de [Root.Liege.GetTitledFirstName] et à peine mon verre était-il vide qu'un serviteur s'empressait de le remplir.;Der Wein auf dem Gelage von [Root.Liege.GetTitledFirstName] floss in Strömen. Wann immer ich meinen Becher leerte, füllte ihn ein Diener sofort wieder auf.;;El vino iba y venía en el banquete de [Root.Liege.GetTitledFirstName], cada vez que vaciaba la copia, venían a rellenármela.;;;;;;;;;x
EVTOPTA72045;More drink please!;Encore du vin, s'il vous plaît !;Mehr Wein bitte!;;¡Más vino, por favor!;;;;;;;;;x
EVTOPTB72045;No more for me, please;Plus de vin pour moi, s'il vous plaît.;Bitte, keinen Wein mehr für mich!;;No, gracias, no quiero más vino.;;;;;;;;;x
EVTDESC72046;The [From.GetAlcoholicDrink] was so smooth and good to drink it took a while before I realized I had drunk too much. In fact, I only realized it when [From.GetTitledFirstName]'s [From.job_treasurer.GetJobTitle] [From.job_treasurer.GetTitledFirstName] asked me if I needed anything and I threw up on [From.job_treasurer.GetHerHis] shoes.;Le vin était si bon qu'il m'a fallu un certain temps avant de réaliser que j'en avais trop bu. Je l'ai compris au moment où l'intendant de [Root.Liege.GetTitledFirstName], [Root.Liege.job_treasurer.GetTitledFirstName], m'a demandé si j'avais besoin de quelque chose et que j'ai vomi sur ses chaussures.;Der Wein ging dermaßen glatt und süffig die Kehle hinunter, dass ich erst nach einiger Zeit merkte, wie viel ich getrunken hatte. Eigentlich merkte ich meine Trunkenheit erst dann, als mich [Root.Liege.GetTitledFirstName]s Verwalter [Root.Liege.job_treasurer.GetTitledFirstName] fragte, ob ich irgendetwas bräuchte. Bei dieser Gelegenheit erbrach ich mich nämlich auf [Root.Liege.job_treasurer.GetHerHis] Schuhe.;;El vino era tan suave y delicioso que tardé en darme cuenta de que había bebido demasiado. De hecho, solo me di cuenta cuando el mayordomo de [Root.Liege.GetTitledFirstName], [Root.Liege.job_treasurer.GetTitledFirstName], me preguntó si quería algo y le vomité en sus zapatos.;;;;;;;;;x
EVTOPTA72046;Sorry! The drink does not agree with me...;Toutes mes excuses ! Le vin et moi ne faisons pas bon ménage...;Verzeiht! Der Wein hat seinen eigenen Willen ...;;¡Lo siento! El vino y yo no nos llevamos muy bien...;;;;;;;;;x
EVTDESC72048;I vaguely remembered [From.GetTitledFirstName]'s feast when I woke up next morning, I remembered the [From.GetAlcoholicDrink] but I did not remember getting to the bed I was lying in.;À mon réveil, le lendemain, je me rappelais vaguement du banquet de [Root.Liege.GetTitledFirstName]. Je me souvenais du vin, mais pas du lit dans lequel je me trouvais.;Am nächsten Morgen konnte ich mich nur vage an [Root.Liege.GetTitledFirstName]s Gelage erinnern. An den Wein erinnerte ich mich wohl, nicht aber, wie ich in das Bett geraten war, in dem ich lag.;;Apenas recuerdo el banquete de [Root.Liege.GetTitledFirstName] cuando desperté a la mañana siguiente, recuerdo el vino, pero no sé cómo llegué a la cama en la que estaba.;;;;;;;;;x
EVTOPTA72048;I think I fell asleep at the table, the drink made me sleepy;Je crois avoir piqué du nez à table... Le vin et son effet soporifique.;Der Wein hat mich schläfrig gemacht, ich muss am Tisch eingeschlafen sein;;Creo que me quedé dormido en la mesa, el vino me dio sueño.;;;;;;;;;x
EVTDESC72049;The more [feast_host.GetAlcoholicDrink] [From.GetTitledFirstName] drank at the [feast_host.Capital.GetName] feast, the more and louder [From.GetSheHe] talked and laughed until [From.GetSheHe] let out a loud snoring and fell face first into [From.GetHerHis] plate. The servants discreetly removed [From.GetTitledFirstName] from the table and took [From.GetHerHim] to a bedchamber.;Plus [From.GetTitledFirstName] buvait de vin, plus [From.GetIlElle] parlait et riait fort, avant de piquer du nez dans son assiette et de se mettre à ronfler. Discrètement, les serviteurs sont venus chercher [From.GetTitledFirstName] pour le conduire jusqu'à une chambre.;Je mehr Wein [From.GetTitledFirstName] trank, desto lauter redete und lachte [From.GetSheHe], bis [From.GetSheHe] plötzlich laut schnarchend mit dem Gesicht auf [From.GetHerHis] Teller fiel. Die Diener entfernten [From.GetTitledFirstName] diskret vom Tisch und brachten [From.GetHerHim] in ein Schlafgemach.;;Cuanto más vino bebía [From.GetTitledFirstName], más alto hablaba y reía [From.GetSheHe], hasta que [From.GetSheHe] soltó un ronquido bien sonoro y acabó con la cara metida en su plato. Los sirvientes discretamente sacaron a [From.GetTitledFirstName] de la mesa camino de su dormitorio.;;;;;;;;;x
EVTOPTB_ZE_2022;If they can't speak [Root.GetSpokenLanguage] they are not important.;S'ils ne peuvent pas parler la langue [Root.Culture.GetName], tant pis pour eux.;Wer nicht [Root.Culture.GetName] spricht, ist nicht wichtig.;;Si no saben hablar [Root.Culture.GetName], no son importantes.;;;;;;;;;x
EVTDESC76005;My unwed daughter [unwed_daughter.GetFirstName] has been... indiscreet. She has been hiding her pregnancy from me and now presents me with her child.;Ma fille, qui n'est pas encore mariée, a été quelque peu volage. Elle m'a caché sa grossesse et me présente maintenant son enfant.;Meine unverheiratete Tochter war … unbesonnen. Sie verbarg ihre Schwangerschaft vor mir, und jetzt ist ihr Kind geboren.;;Mi hija soltera ha sido… indiscreta. Me ha ocultado su embarazo y ahora aparece con su hijo.;;;;;;;;;x
EVTDESC30055;A minor [Root.Capital.GetNobleName] in [Root.Capital.GetName] has come to me with a trivial complaint, and is really getting on my nerves! My [Root.Spouse.GetHusbandWife], [Root.Spouse.GetTitledFirstNameNoRegnal], senses my irritation and is offering to give me advice on the matter. [Root.Spouse.GetHerHisCap] diplomatic skill has saved me many times before...;L'obstiné baron de [Root.Location.GetName] m'agace profondément ! Ma femme, [Root.Spouse.GetFirstName], sent mon irritation et me propose de me conseiller. Ses talents diplomatiques m'ont souvent sauvé la mise par le passé...;Der sture Baron von [Root.Location.GetName] geht mir wirklich auf die Nerven! Meine Gattin, [Root.Spouse.GetFirstName], bemerkte meine Verärgerung und gab mir Ratschläge. Ihre Diplomatiekunst hat mich schon oft zuvor gerettet ...;;¡El terco barón de [Root.Location.GetName] me saca de quicio! Mi esposa, [Root.Spouse.GetFirstName], notó mi irritación y me ofreció un consejo al respecto. Su habilidad diplomática me ha salvado ya muchas veces...;;;;;;;;;x
EVTOPTA30055;...I hope [Root.Spouse.GetSheHe] can save me now!;... Pourvu qu'elle me sauve une nouvelle fois la mise !;… Ich hoffe, dass sie mich jetzt auch aus der Bredouille holen kann!;;...Espero que me salve ahora!;;;;;;;;;x
EVTDESC30056;Two competent minor [Root.GetReligionWarriorPlural] are fighting for a position in [Root.Capital.GetName] training the levies there. My gut tells me to choose the younger man who has risen through the ranks fast, whilst my [Root.Spouse.GetHusbandWife] [Root.Spouse.GetTitledFirstNameNoRegnal] is urging me to choose the older man who has never risen above the rank of sergeant.;Deux candidats compétents se disputent un poste à [Root.Location.GetName] pour y former les troupes. Mon instinct me dit de choisir le plus jeune qui a rapidement gravi les échelons, tandis que ma femme, [Root.Spouse.GetFirstName], me conseille de choisir le plus âgé qui n'a jamais dépassé le grade de sergent.;Zwei kompetente Anwärter bewerben sich um eine Position für die Wehrpflichtigenausbildung in [Root.Location.GetName]. Mein Bauchgefühl sagt mir, den Jüngeren der beiden zu wählen, der sich sehr schnell durch die Ränge nach oben gearbeitet hat, während meine Gattin [Root.Spouse.GetFirstName] mich drängt, den Älteren zu nehmen, der nie über den Rang eines Feldwebels hinausgekommen ist.;;Dos capaces contendientes se disputan un puesto en [Root.Location.GetName] para entrenar las levas. Mi instinto me dice que elija al joven que ha ascendido con rapidez, mientras que mi esposa [Root.Spouse.GetFirstName] me insta a elegir al más viejo, que nunca ha pasado del grado de sargento.;;;;;;;;;x
EVTOPTA30056;I trust my [Root.Spouse.GetTitledFirstNameNoRegnal] more than my gut;Je me fie davantage à ma femme qu'à mon instinct.;Ich vertraue meiner Gattin mehr als meinem Bauch;;Confío más en mi esposa que en mi instinto;;;;;;;;;x
EVTOPTB30056;This is no business for a [Root.Spouse.GetManWoman]!;Ce n‘est pas une affaire de femme !;Dies ist keine Entscheidung für eine Frau!;;¡No es asunto para una mujer!;;;;;;;;;x
EVTDESC30057;Gold pours from my hands but never finds its way back! The numbers and sums make no sense, twirling numbers mocking me appear every time I close my eyes. My [Root.Spouse.GetHusbandWife] [Root.Spouse.GetTitledFirstNameNoRegnal] has offered to help me, but I have refused every time she brings it up.;L'or me glisse entre les doigts sans jamais retrouver le chemin du retour ! Je suis fâché avec les chiffres. Ma femme [Root.Spouse.GetFirstName] m'a souvent proposé son aide, mais jusqu'à présent, j'ai toujours refusé.;Gold fließt mir aus den Händen, aber es findet nie seinen Weg zurück! Die Zahlen und Summen machen keinen Sinn, wirbelnde Zahlen verspotten mich jedes Mal, wenn ich meine Augen schließe. Meine Gattin [Root.Spouse.GetFirstName] hat mir ihre Hilfe angeboten, aber ich habe sie jedes Mal abgewiesen.;;¡El oro se escurre de mis manos pero nunca vuelve! Las cifras y las sumas no tienen sentido, cada vez que cierro los ojos veo números que giran y se ríen de mí. Mi esposa [Root.Spouse.GetFirstName] me ha ofrecido ayuda, pero siempre la he rechazado.;;;;;;;;;x
