#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_become_exalted_1_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;[This.GetTitledFirstName] veut que son nom figure à jamais dans les annales de l'Histoire.;[This.GetTitledFirstName] will, dass [This.GetHerHis] Name für immer in die Annalen der Geschichte eingeht.;;[This.GetTitledFirstName] quiere que su nombre viva para siempre en los anales de la historia.;;;;;;;;;x
obj_become_exalted_2_title;Become Exalted among Men;Devenir un exalté parmi les hommes;Vorbild für die Menschheit werden;;Ser glorificado entre los hombres;;;;;;;;;x
obj_become_exalted_2_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;[This.GetTitledFirstName] veut que son nom figure à jamais dans les annales de l'Histoire.;[This.GetTitledFirstName] will, dass [This.GetHerHis] Name für immer in die Annalen der Geschichte eingeht.;;[This.GetTitledFirstName] quiere que su nombre viva para siempre en los anales de la historia.;;;;;;;;;x
obj_become_exalted_3_title;Become Exalted among Men;Devenir un exalté parmi les hommes;Vorbild für die Menschheit werden;;Ser glorificado entre los hombres;;;;;;;;;x
obj_become_exalted_3_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;[This.GetTitledFirstName] veut que son nom figure à jamais dans les annales de l'Histoire.;[This.GetTitledFirstName] will, dass [This.GetHerHis] Name für immer in die Annalen der Geschichte eingeht.;;[This.GetTitledFirstName] quiere que su nombre viva para siempre en los anales de la historia.;;;;;;;;;x
obj_become_exalted_4_title;Become Exalted among Men;Devenir un exalté parmi les hommes;Vorbild für die Menschheit werden;;Ser glorificado entre los hombres;;;;;;;;;x
obj_become_exalted_4_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;[This.GetTitledFirstName] veut que son nom figure à jamais dans les annales de l'Histoire.;[This.GetTitledFirstName] will, dass [This.GetHerHis] Name für immer in die Annalen der Geschichte eingeht.;;[This.GetTitledFirstName] quiere que su nombre viva para siempre en los anales de la historia.;;;;;;;;;x
revoke_law;Titles;Titres;Titel;;Títulos;;;;;;;;;x
revoke_law_0;Hereditary Titles;Titres héréditaires;Erbliche Titel;;Títulos hereditarios;;;;;;;;;x
revoke_law_0_option;Hered.;Héréd.;Erblich;;Hereditarios;;;;;;;;;x
revoke_law_0_desc;Vassal titles are hereditary, and cannot be revoked freely unless the ruler has a claim on them.;Les titres des vassaux sont héréditaires et ne peuvent être révoqués librement sauf si le souverain a une revendication sur eux. ;Vasall-Titel sind erblich, und können nicht frei widerrufen werden es sei denn, dass der Lehnsherr einen Anspruch auf ihnen hat.;;Los títulos de los vasallos son hereditarios, y no pueden ser revocados libremente a menos que el soberano tenga una reivindicación sobre ellos.;;;;;;;;;x
revoke_law_1;Appointed Titles;Titres appointés;Ernannte Titel;;Títulos designados;;;;;;;;;x
revoke_law_1_option;Appoint.;Appoint.;Ernannt;;Designados;;;;;;;;;x
revoke_law_1_desc;Vassal titles are appointed, and can be revoked freely, though the vassal may object.;Les titres des vassaux sont appointés et peuvent être révoqués librement, quoique le vassal puisse élever des objections. ;Vasall-Titel werden ernannt, und können frei widerrufen werden, obwohl der Vasall protestieren kann.;;Los títulos de los vasallos son designados, y pueden ser revocados libremente, aunque el vasallo puede formular objeciones.;;;;;;;;;x
plot_institute_hereditary_titles_title;Institute Hereditary Titles in [This.GetName];Instituer les titres héréditaires en [This.GetName];Errichten Sie Erbliche Titel in [This.GetName];Institute Hereditary Titles in [This.GetName];Instituir títulos hereditarios en [This.GetName];;;;;;;;;x
plot_institute_hereditary_titles_desc;[From.GetTitledFirstName] believes that [From.GetHerHis] titles should be hereditary.;[From.GetTitledFirstName] pense que ses titres devraient être héréditaires.;[From.GetTitledFirstName] glaubt das seine [From.GetHerHis] titles erblich sein sollten.;[From.GetTitledFirstName] believes that [From.GetHerHis] titles should be hereditary.;[From.GetTitledFirstName]  piensa que sus títulos deberían ser hereditarios.;;;;;;;;;x
plot_institute_hereditary_titles_decision;[Root.GetObjective];[Root.GetObjective];[Root.GetObjective];;[Root.GetObjective];;;;;;;;;x
plot_institute_hereditary_titles_decision_desc;Put the plot into motion by sending an ultimatum to [Root.PlotTarget.GetTitledName].;Initier le complot en envoyant un ultimatum à [Root.PlotTarget.GetTitledName].;Verschwörung durch Senden eines Ultimatums an [Root.PlotTarget.GetTitledName] in Bewegung setzen.;;Pon en marcha el complot enviando un ultimátum a [Root.PlotTarget.GetTitledName].;;;;;;;;;x
change_title_revoke_law_desc;§Y$CLAIMANT$§! can declare war to institute Hereditary Titles in the §Y$TITLE$§!;§Y$CLAIMANT$§! peut déclencher une guerre pour instituer les titres héréditaires en §Y$TITLE$§!;§Y$CLAIMANT$§! kann Krieg erklären um Erbliche Vasall-Titel in §Y$TITLE$§! zu schaffen;;§Y$CLAIMANT$§! puede declarar una guerra para instituir los títulos hereditarios en §Y$TITLE$§!;;;;;;;;;x
WAR_NAME_CHANGE_TITLE_REVOKE_LAW;$ORDER$$SECOND_ADJ$ Civil War to Institute Hereditary Titles;$ORDER$$SECOND_ADJ$ Guerre Civile pour instituer l'hérédité des titres. ;$ORDER$$SECOND_ADJ$er Bürgerkrieg um Erbliche Titel Zu schaffen.;;$ORDER$$SECOND_ADJ$ Guerra civil para instituir títulos hereditarios;;;;;;;;;x
CB_NAME_CHANGE_TITLE_REVOKE_LAW;Institute Hereditary Titles;Instituer les titres héréditaires;Erschaffen Sie Erbliche Titel;;Instituir títulos hereditarios;;;;;;;;;x
REVOKE_TITLE_INTERACTION_1;Revoke the §Y[ThirdPartyTitle.GetFullName]§W for §R100§W Prestige. This will lower §Y[Recipient.GetTitledFirstName]§W's opinion of you by §R$OPINION$§W, and your other vassals' by §R$OPINION2$§W.;Annuler le titre §Y[ThirdPartyTitle.GetFullName]§W contre §R100§W de prestige. Cela diminuera l’opinion qu’à §Y[Recipient.GetTitledFirstName]§W de vous de §R$OPINION$§W et celle de vos autres vassaux de §R$OPINION2$§W.;Den §Y[ThirdPartyTitle.GetFullName]§W für §R100§W Prestige entziehen. Dies wird §Y[Recipient.GetTitledFirstName]§Ws Meinung von Euch um §R$OPINION$§W verschlechtern, die Eurer Vasallen um §R$OPINION2$§W.;;Revocar el título de §Y[ThirdPartyTitle.GetFullName]§W a cambio de §R100§W de Prestigio. Este acto bajará la opinión que §Y[Recipient.GetTitledFirstName]§W tiene de ti en §R$OPINION$§W, y la del resto de vasallos en §R$OPINION2$§W.;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2;Revoke the §Y[ThirdPartyTitle.GetFullName]§W for §R100§W Prestige. This will lower §Y[Recipient.GetTitledFirstName]§W's opinion of you by §R$OPINION$§W.;Annuler le titre §Y[ThirdPartyTitle.GetFullName]§W contre §R100§W de prestige. Cela diminuera l’opinion qu’à §Y[Recipient.GetTitledFirstName]§W de vous de §R$OPINION$§W.;Den §Y[ThirdPartyTitle.GetFullName]§W für §R100§W Prestige entziehen. Dies wird §Y[Recipient.GetTitledFirstName]§Ws Meinung von Euch um §R$OPINION$§W.;;Revoca el título de §Y[ThirdPartyTitle.GetFullName]§W a cambio de §R100§W de Prestigio. Este acto bajará la opinión que §Y[Recipient.GetTitledFirstName]§W tiene de ti en §R$OPINION$§W.;;;;;;;;;x
employment_timer;Recently employed a character;A récemment employé un personnage;Kürzlich angeworben;;Ha empleado recientemente un personaje;;;;;;;;;x
indulgence_timer;Recently bought an indulgence;A récemment acheté une indulgence;Kürzlich Ablass erworben;;Ha comprado una indulgencia recientemente;;;;;;;;;x
victory_timer;Recently victorious in a war;A récemment remporté une guerre;Kürzlich siegreich in einem Krieg;;Ha ganado una guerra recientemente;;;;;;;;;x
convert_province_timer;Recently converted a province;A récemment converti une province;Kürzlich eine Provinz konvertiert;;Ha convertido una provincia recientemente;;;;;;;;;x
capture_desc;§Y$CLAIMANT$§! can attempt to capture all malicious plotters in the realm of §Y$TARGET$§!.;§Y$CLAIMANT$§! peut tenter de capturer tous les malveillants comploteurs dans le Royaume de §Y$TARGET$§!.;§Y$CLAIMANT$§! kann versuchen, alle böswilligen Verschwörer im Reich von §Y$TARGET$§! Festzunehmen.;;§Y$CLAIMANT$§! puede intentar capturar a todos los conspiradores maliciosos del Reino §Y$TARGET$§!.;;;;;;;;;x
obj_adopt_a_lifestyle_title;Adopt a Lifestyle;Adopter un style de vie;Nehmen Sie einen Lebensstil an;Adopt a Lifestyle;Adoptar un estilo de vida;;;;;;;;;x
obj_adopt_a_lifestyle_desc;[This.GetTitledFirstName] wants an exciting hobby to pursue.;[This.GetTitledFirstName] veut avoir un loisir excitant.;[This.GetTitledFirstName] will, dass ein aufregendes Hobby fortfährt.;[This.GetTitledFirstName] wants an exciting hobby to pursue.;[This.GetTitledFirstName] quiere tener un pasatiempo emocionante.;;;;;;;;;x
obj_win_a_war_title;Win a War;Gagner une guerre;Einen Krieg gewinnen;Win a War;Ganar una guerra;;;;;;;;;x
obj_win_a_war_desc;[This.GetTitledFirstName] desires the glory and fame of a successful war.;[This.GetTitledFirstName] désire connaître la gloire d'une guerre victorieuse. ;[This.GetTitledFirstName] wünscht den Ruhm und die Berühmtheit eines erfolgreichen Krieges.;[This.GetTitledFirstName] desires the glory and fame of a successful war.;[This.GetTitledFirstName] desea la gloria y la fama ganando una guerra;;;;;;;;;x
obj_convert_a_province_title;Convert a Province;Convertir une province;Konvertieren Sie eine Provinz;Convert a Province;Convertir una provincia;;;;;;;;;x
obj_convert_a_province_desc;[This.GetTitledFirstName] wants to bring the true faith to the heathens of the realm.;[This.GetTitledFirstName] veut apporter la vrai foi aux païens et incroyants du Royaume. ;[This.GetTitledFirstName] will den wahren Glauben ins Reich bringen.;[This.GetTitledFirstName] wants to bring the true faith to the heathens of the realm.;[This.GetTitledFirstName] quiere aportar la verdadera fe a los paganos del Reino.;;;;;;;;;x
obj_gain_honorary_title_title;Gain Honorary Title;Recevoir un titre honorifique;Gewinnen Sie Ehrentitel;Gain Honorary Title;Recibir un título honorífico;;;;;;;;;x
obj_gain_honorary_title_desc;[This.GetTitledFirstName] wants recognition for [This.GetHerHis] loyal service by being appointed to an honorary office.;[This.GetTitledFirstName] souhaite voir ses loyaux services récompensés par l’obtention d’un titre honorifique. ;[This.GetTitledFirstName] möchte ansehen für seinen treuen Dienst an [This.GetHerHis] ;[This.GetTitledFirstName] wants recognition for [This.GetHerHis] loyal service by being appointed to an honorary office.;[This.GetTitledFirstName] desea ver sus leales servicios recompensados con un título honorífico.;;;;;;;;;x
obj_status_quo_title;No Ambition;Pas d'ambitions;Keine Ambition;No Ambition;Sin ambiciones;;;;;;;;;x
obj_status_quo_desc;[This.GetTitledFirstName] doesn't want anything in particular at the moment.;[This.GetTitledFirstName] ne veut rien de particulier pour le moment. ;[This.GetTitledFirstName] will nichts bestimmtes im Moment.;[This.GetTitledFirstName] doesn't want anything in particular at the moment.;[This.GetTitledFirstName] no quiere nada en particular en este momento.;;;;;;;;;x
CB_NAME_CAPTURE;Capture Plotters;Capturer les comploteurs;Verschwörer festnehmen;;Capturar a los conspiradores;;;;;;;;;x
WAR_NAME_CAPTURE;$ORDER$$FIRST_ADJ$ War to Capture Plotters;$ORDER$$FIRST_ADJ$ Guerre pour capturer les comploteurs;$ORDER$$FIRST_ADJ$er Krieg zur Festnahme der Verschwörer;;$ORDER$$FIRST_ADJ$ Guerra para capturar a los conspiradores;;;;;;;;;x
ca_culture_group_baltic_0;Warrior Cult;Culte guerrier;Kriegerkult;;Culto guerrero;;;;;;;;;x
loan_timer;Loan Taken;A fait un emprunt;Genommenes Darlehen;;Ha tomado un préstamo;;;;;;;;;x
loan_timer_desc;A loan will be due for repayment at the expiration date of this modifier.;Un emprunt devra être remboursé à la date d'expiration.;Ein Darlehn muss muss zur Zeit dieses Modifikators zurückgezahlt werden;;El préstamo debe ser reembolsado al vencimiento.;;;;;;;;;x
obj_break_out_of_prison_desc;[This.GetTitledFirstName] wants [This.GetHerHis] freedom back.;[This.GetTitledFirstName] veut recouvrer sa liberté.;[This.GetTitledFirstName] will die Freiheit von [This.GetHerHis] zurück.;[This.GetTitledFirstName] wants [This.GetHerHis] freedom back.;[This.GetTitledFirstName] quiere recuperar su libertad.;;;;;;;;;x
sanctioned_religious_invasion;Sanctioned Religious Invasion;A autorisé une invasion religieuse;Sanktionierte Religiöse Invasion;;Ha autorizado una invasión religiosa;;;;;;;;;x
sanctioned_holy_war;Sanctioned Holy War;A autorisé une guerre sainte;Sanktionierter Heiliger Krieg;;Ha autorizado una guerra santa;;;;;;;;;x
sanction_timer;Recently requested sanction;A récemment demandé une autorisation;Kürzlich erbetene Sanktion;;Ha pedido una autorización recientemente;;;;;;;;;x
war_sanction_granted;Sanction will be granted;Autorisation va être donnée;Sanktion wird gewährt;;La autorización será concedida;;;;;;;;;x
war_sanction_not_granted;Sanction will be refused;Autorisation va être refusée;Sanktion wird verweigert;;La autorización será denegada;;;;;;;;;x
request_holy_war_sanction;Request Sanction for Holy War;Demander une autorisation pour une Guerre Sainte;Sanktion für den Heiligen Krieg erbeten;;Pedir una autorización para una Guerra Santa;;;;;;;;;x
request_holy_war_sanction_desc;Request sanction to wage a Holy War from our head of religion. If granted, this will allow us to wage a Holy War without losing piety. A high piety and good relations will increase the chance of sanction being granted.;Demander une autorisation à notre chef religieux pour mener une Guerre Sainte. Si elle est accordée, cela nous permettra de déclencher une Guerre Sainte sans perdre de piété. Une haute piété et de bonnes relations augmenteront nos chances de voir l'autorisation accordée. ;Sanktion erbeten, um einen Heiligen Krieg zu führen. Wenn dies gewährt wird wird das uns erlauben, einen Heiligen Krieg zu führen, ohne Gläubigkeit zu verlieren. Eine hohe Gläubigkeit und gute Beziehungen werden die Chance der Sanktion vergrößern, die uns gewährt wurde.;;Pedir una autorización a nuestro jefe religioso para liderar una Guerra Santa. Si es concedida, nos permitirá declarar una Guerra Santa sin perder piedad. Una alta piedad y buenas relaciones aumentan las posibilidades de ver concedida la petición. ;;;;;;;;;x
mujahid;Mujahid;Combattant de la liberté;Mujahid;;Mujahid;;;;;;;;;x
mujahid_desc;This character is a veteran Mujahid.;Ce personnage est un combattant de la liberté vétéran;This character is a veteran Mujahid.;;Este personaje es un veterano Mujahid.;;;;;;;;;x
